,Bios
120,graduat from uc berkeley with degre in eec electr engin and comput scienc enjoy do thing with comput and car my two main hobbi about myself immigr to the us in 1995 and settl in los angel am amus funni and geeki
121,am singl girls!!! come get me!! hahaha am tall white guy who is look for younger woman ask me anyth if you would like to know more
122,fun love rock climb design adventur is my middl name well actual it not but love that shit made my own bike and have been ride it in my spare time explor sf
123,ill matic drastic fantast orgasm incompar to plastic seen as drastic and spastic yet my prophet fact are prophylact don do
125,sorri for the lack of detail pictur lot of friend and colleagu visit this site and pretti sure they would recogn me
126,upon view this big empti box have big case of stage fright kinda like was push out on stage in front of the mike and someon turn on the big spotlight *tap tap* this thing on? yep so where to start? if could add fourth adject it would be optimist the glass is alway more than half full and there is enough to share but not so far as to be pollyann am ration funni and shi
130,cunt juic
133,kind intellig matur and care compassion heart are the qualiti that describ myself and the sort of person am look for am creativ and spiritu and am interest in true connect with posit love and gentl soul
138,nan
139,pleas cut me some slack am still set up my profil check back with me and hope you ll like what you see
140,nan
143,cornucopia of excit characterist don know thought consider tri to be understand openmind im driven passion loyal
144,suppos an amalgam of sort like to sit in the back of bus and the front of roller coaster quiet observ and commit particip as happi rambl through citi museum as am through the wood town mous and countri mous appreci simplic as much as do the complex the sublim as much as the ridicul
146,let fuck!!!!
153,look for peopl that want someth big in her life if you want this big thing hola
154,realli simpl person have an anayt person but love peopl build all relationship base on trust work quit bit and alway find time to have fun
158,would describ myself as friend down to earth person am kind care loyal to my friend and famili
159,nan
161,at the moment am open my self to all the possibl out there like meet fun and interest peopl and am usual up for tri someth new at least once!
162,just your averag guy with crazi stori want to expand my network and meet some cool new peopl
164,nan
165,nan
166,pretti much cannot be bother to fill out most of this but will say that am fun warm funni activ yet lazi and curious
169,off travel for the rest of may if you write ll be sure to respond in june thanks! like to read book magazin onlin you name it travel eat and be outdoor
174,when you first see me look like tough guy but after you get to know me you will find out that im nice funni sexi guy lol!
175,nan
179,east bay nativ big time nerd high analyt hedonist tendenc am expert in the field of cognit disson languag and comput program scuba certifi startup co founder open sourc contributor and probabl the most laid back person of all time
181,like to hangout with my friend bookworm! and love to laugh and make other peopl laugh
183,hey am healthi guy and with health everyth is possibl love to run workout and hike which do all regular am into other physic activ as well love to just hang out and be spontan
184,just laid back guy hope to meet some realli nice ladi
186,nan
188,silli analyt fond of short sentenc
192,hey! my name is michel peopl also call me pirat im 29 year old hairdress and extrem passion about what do love to go out and have good time go get lost in natur or just lay around the hous and alway look for compani
193,oh hey what is this over here the internet? are we on the internet today? that what we re gonna do? that nice let us internet proper and respons with vim and vigor!! beep beep! websites! this is date am look for partner in crime so that we can go rob bank and mayb murder some peopl serious whi do peopl keep look for partner in crime? are you all crook in here? where is the law abid date web site?
195,nan
196,okay so know you check out my pictur and you re back for more great go to take the dog for walk while you find out littl more about me here enjoy and shoot me messag or wink or whatev when you re done so we can get to know each other want to laugh out loud? come meet me my joke will set you roll on the floor my eye and my leg make me stand out what follow in the list is my smile that can set everyth even your mood
200,sexi asian tgirl 124lb like guy who like tgirl pleas read my prof filipina like to travel
202,like meet new peopl to have adventur and great convers with love to learn what can you teach me? over use parenthes and semicolon am daydreami academ and outdoorsi
207,spontan love driven artist witti etc
210,nan
216,great run order new tire and good brake smog through 2011 the paint is in decent shape and the engin is tip top the upholsteri may need to be replac
218,am human male have ten finger and ten toe for now and for the forese futur have hair other point of interest includ the abil to drive car while eat burrito despit never have done so can you tell that don take okcupid seriously? more like okstupid also the thing said about the burrito is lie ve done it befor and ll certain do it again
222,nan
223,hi thank for check out my profil divers multi facet person enjoy garden work out hike and backpack dirt bike ride ski and fish also enjoy get dress up and go out good eater who like mani differ kind of food and also enjoy cook enjoy share good food and wine with friend and famili
226,nan
229,one person one vote this is california right? woman want manwher you at? tall glass of water would like to meet man with healthi thirst for complementari connect and you know share if you re 50 63 give or take few that ballpark was hope to have trip over you by now but either our time is off or far too grace suspect the former
235,ve been told am funni in somewhat sarcast way witti smart and geeki my idea of fun night is sit on the couch watch movi we can then discuss afterward can be intens but can also laugh at myself come off as shi at first but relax onc you get to know me
238,new to the onlin date and here to check thing out and see how it goe
239,my name is ben and senior in high school ve been in coupl long relationship and look for someth not too serious befor leav for colleg look for someon fun!!! my polit view are veri liber
240,like travel back and forth from my job earn money for my employ and seek adventur stori to read on the interweb am tall compar to my 11 grandma and care to my hous plant and appar like parenthes who doe not?
243,ok so im not rilli wizard and dont wear glass but self employ guy who like the outdoor motorcycl ride rock climb nice food and interest peopl and hate republican but like gun
250,nan
251,am littl tea pot not short nor stout! like to have fun and laugh at peopl when they trip just cannot help it work play work play work
254,veri activ person dj and have an interior decor busi snowboard wake board play softbal love to danc and go camp and so much more!!!!!
255,well first of all have super power abl to leap through ani awkward first date convers in singl verb!
256,nan
263,hi! just join will fill in soon
264,nan
265,nan
266,am look for chemistri and companionship an equal relationship someon who love their life and want to share it with me someon who is sweet like me if you are glass half full person excit about life and discov all it wonder energet curious adapt spontan person pleas contact me becaus that describ me pretti well like to look at life with childish glee and make it fun
273,nan
274,so steppin outta road unsur of what ll find but alway curious to find out am humbl grate and bless
276,laugh almost as much as breath expert in the random and ridicul wingin it structur dancer to the core music make my world go round forev explor alway interest in the stori behind the person what yours?
279,nan
280,nan
283,am an adventur man who like explor new place go to good restaur and be in the outdoor as much as possibl
284,ok well guess it time to spill my gut out to the world and notifi the peopl who read this how wonder and down to earth am lol but that bore live with myself everyday and come to realiz that id rather you get to kno me without the persuas of my percept love bein mommi to love 3yr old that without doubt
286,love danc polit coffe tarot card thrift store shop sunshin sundress public speak languag read arm wrestl travel art food game and intellectu convers noth turn me on like well function brain cell am not realli and look
289,meet me fun
290,just this guy you know? don take myself too serious and just tri to have good time
291,nan
292,hey tri to make the most of this life and meet some awesom peopl mayb this site can help with the latter optimist about the futur but never miss an opportun to seiz the day
294,howev small burn for while wondrous
296,full of energi like to share it want to tri someth new in life would like to make new friend have some fun
299,nan
300,work in progress much like this summari of my life hmmm is it better to say too littl or to say too much?
303,live in the citi im realli busi all the time also have veri larg octopus tattoo
304,am an easi go energet self motiv individu the type of guy you can go jog with and or ani outdoorsi activ with then get dress up with! recent move back to the citi and look for new friend to hang out with
309,from colorado move to california after finish undergrad at cu boulder graduat from from usf with my teach credenti and master in teach read
310,look for romanc in all the right place talent technic well read love the out door and good symphoni is alway treat
311,ok so here am wonder on this site becaus friend had convinc me to check it out honest have no idea how women on here are am still new to this onlin date scene suppos we can get to know each other if you write me am educ spontan and outspoken
314,sexi smart and funni with major mischiev streak
315,nan
320,think becom wiser
321,in tini nutshel describ as fun unpredict at time goofi silli support and loyal am of chines japanes background but don realli look like either ve even been call pakistanian befor man did that guy need glass or what ve been here sinc so cannot speak engrrish with an accent
322,nan
323,am high energi spontan easi to be with fun love person find fun new restaur walk film day trip good wine and travel are just few of the thing that like to do
332,just join and don know what to write
336,nan
341,an adventur silli profession
349,gregari warm heart man who like be awar of the world around him have two daughter and am fortun to have close relationship with both realli love my work as therapist but tri not to bring it home lucki to have sever veri good friend who share most of my perspect and challeng me on other my daughter call me emo and consid that compliment
350,essay? fat fuck chanc playwright photograph global monitor former radio dj bad ass discipl of bug bunni and miyamoto musashi acut awar that be in million mean the situat is near hopeless in sf and onli margin better state wide but hey slim chanc beat no chanc at all
351,am mysteri wrap insid of an enigma some might call that conundrum burrito if that you we should be friend
355,am girl that is down to earth and enjoy work and play like to hang with friend famili travel volunt the list continu
357,nan
358,nan
360,nan
361,spend my day anim for thingi ve just celebr birthday by throw my back out make one million logan run joke and go to bed earli onc punch spider for have too mani leg at me
362,when was littl dreamt of becom pizza deliveri guy sad my dream never came true and becam softwar engin instead onc visit north korea becaus nobodi told me it was the bad korea anoth time visit monaco and drove lap of the mont carlo circuit didn set ani lap record but to be fair was in honda jazz and it was rush hour
365,sorri about make you click on an empti profil good day!
366,nan
371,go to art school and love everi minut of it! go to get my bs in interior design!
372,consid the follow on averag you are attract to one out of everi ten potenti partner this is like an overestim but for the sake of argument not an unreason assumpt by the same token that one person you like has one in ten chanc of like you in return this mean that the odd of two peopl hit it off and get along are no more than one percent this is perhap an alarm low figur admit but such is the remorseless ineluct beauti of mathemat truth the question is are we the one percent?
374,nice guy introspect shi live for the search for understand opinion but not judgment like the journey more than the destin sometim inconsist but otherwis how could grow? geek or is it nerd? definit one of those the guy that everyon know who most doe not have clue who wave at him wave back becaus it seem friend
376,nan
380,alway chang and don want anyon to fixat on descript let just say seek balanc in all that do
382,am curious and inquisit about the world so take everi opportun to learn from it am interest in world affair world histori linguist and scienc believ in practic human decenc on basic level everyday love to laugh more than that love make other laugh at what they find funni like surpris in the world like this and amus thing like this for women with allergi have two cat
386,geeki athlet and energet love to eat and love to cook vegetarian dad with share custodi so relax if busi do my best to give him the world
387,find it tad difficult to summar myself perhap will leav that up to the summarian am artist adventer and archaic
388,easi go fun good sens of humor
389,love hike danc sport [basebal basketball] and be out in natur abov all will do anyth to smile laugh move to sf in octob realli excit to explor and figur out the citi
390,am retir machinest and aa engin and love the out of door like camp and fli fish and sunset as well as sunris but was in explos 19 year ago that left me in roller coaster thank good was avid bicycl rider and have great upper strength henc have great out look at life
399,energet easi go like fun and activ
401,singl and readi to mingl
402,wasn like everi other kid you know who dream about be an astronaut was alway more interest in what bark was made out of on tree richard gere real hero of mine sting sting would be anoth person who hero the music he creat over the year don realli listen to it but the fact that he make it respect that
404,new here so bare with me on complet these question thank !!
406,nan
407,nan
413,measur person by how she think speak act rather than what she think speak doe so if you suck can tell
416,nan
417,nan
418,nan
421,hi! haven written an essay yet becaus join okcupid veri recent this space is where ll express myself soon though if you like to know more about me pleas send me messag [this is the default essay okcupid fill in for new user who haven written about themselv yet am relax larg foot and easili distract
426,am have difficulti write about myself even though my career involv lot of writing! where to begin am sweet but confid silli but planner optimist but realist fun love but goal orient and am look forward to see what life throw my way next!
428,nan
429,danc dream laugh adventur wander nice atmospher peac new experi eating!
430,that right we re fun parti guy and yes we are for real! we like bike beer and roam the citi oh and whiskey and food and women come get down with us and bring friend we figur sinc we re alway togeth ragin it up we might as well look for gal who wanna do the same!
432,recent divorc and look for love my heart on the mend but readi for adventur with that special someon or someon
437,this is doubl date profil to minim awkward we are good at minim awkward
439,love live in oakland have been here for year and love the quiet vibe of the place also enjoy travel and hang with my dog mix up in all that is my love of good restaur friend and wine
441,im father of one boy the mom is still around im here for new friend we have open relationship we are look foe wifey to rock wit us we jus like to have fun onli live onc no so if it gud wit cum holla at me
442,honest loyal and just nice guy! everi day is new so that is what think about most am just here to check it out have made some nice friend on this site
443,am look for serious relationship with man that is kind generous super intellig great communic extraordinari in everi way love art theater foreign movi cook read exercis know how to entertain myself but want partnership and share
444,nice guy search for nice girl doe not sound complic doe it? if you like honesti sensit and intellectu discuss may be for you
445,is work in progress have been live in oakland for coupl year now origin from chicago live few block from lake merritt in adam point
446,
447,oh my word here am on an onlin date site at the tender age of 30 and not too sure how feel about it cheers!
448,activ lifestyl avid sport fan social
451,am singl mother of children they are my world they will alway come first in my life they all live with me ive been singl for long while had babi about 3yr ago am physic get myself back into shape am veri warm heart person
453,whoooaa been in sf 6yr move from london love it here and don know whi it took so long
455,nan
456,my percept of the world is so differ wanna take peek at biss
462,how doe one answer this question without it resembl colleg applic essay? so broad so vagu so full of silent judg go to mull this over bit but ll leav you with this odd tidbit ve never join facebook and it feel good
464,athlet singl
465,prematur silver fox and get ask about it constant
466,asian daria that laugh lot minus the combat boot plus dash of optim
469,live it up in the city! seahawk sounder fan learn to play guitar miss my 4x4 realli want german shepherd!
470,nan
473,citi rat meet twinki monkey
477,make film can cook tri to write
478,have been made of meat for as long as can rememb cope with my condit by find way to enjoy do all the thing that natur tell me must do in order to surviv and thrive for exampl some of the most enjoy social occas are center around meal or bedtime! don mind exercis and brainstorm by myself but it also fun to do thing like that with peopl who have similar interest enjoy collabor with my teammat interact with client and pet all the dog that peopl bring to the offic
479,nan
480,nan
482,am terribl at describ myself the onli thing will say is am veri sarcast and have veri dri sens of humor will enlist my friend philippa to write the rest of this for me eventu
483,ve move around my whole life so my co worker call me nomad am in love with travel and hope to see the whole world am curious sassafra and sweet am also left hand
484,sf nativ night owl pop cultur enthusiast random adventur
489,never imagin do someth like this
490,am sort of sensit guy veri calm and relax veri passion about music art literatur and slew of academ subject as well like to have fun am charm and have good sens of humor
496,nan
497,nan
500,nan
505,never realli know how to start these thing
507,move to the area few month ago and look to meet cool new peopl
509,nan
510,pretti uninterest
511,practic imperfect in everi way casual complic fascin reflect laugh and smile lot becaus enjoy connect the dot observ compassion misunderstood can be quit gullibl naiv becaus like to believ peopl should take thing bit more serious eventu perhap
514,peopl find me funni uniqu with the right amount of crazi live by my motto keep it classi and make it happen! pack my life with travel and new experi you onli live onc so whi not live it to the fullest?
516,love the outdoor snowboard hang with friend etc just check this site out if your curious me am down to earth outgo and honest
520,nan
522,nan
526,nan
527,alway here about this onlin date so decid to give it tri so here it goe im garbag man for marin counti like to go out have fun meet new peopl if you wanna know more just ask
538,born rais in the citi veri close with my famili consid myself to be easygo laid back although sometim can be pretti stubborn feel like if you re gonna do someth you might as well do it right! more of homebodi than parti anim love to get away whenev possibl prefer somewher sunni tropic most of the time
539,am look for someon to have fun with to hang out with late at bar or curl up on couch and watch someth stupid what happen happen but am open to relationship
540,nan
544,mysteri love compani
546,guess this is were talk about my self don know were to start or what to say work for harborsid health center in san jose ca ve been in the marijuana movement for littl over 10 year now
547,am 25 look for matur woman not girl someon who is lookin for someth serious like to hike fish have motorcycl like to go shoot do smoke bud so if don like it don messag me if don mind then cool
548,whoop whoop!!!!!! fukck icp!
550,nan
556,nan
557,nan
563,musician quick whit beard sweet sarcast street smart yet love the outdoor ex sponsor skater ex tour music man do it your damn selfer appreci you dress up like sexi secretari
565,veri easi go like to make the best of what ever situat in like tri new restaur and enjoy spend time with friend music and travel oh and love go to the movi
572,move back to ca year ago for new job now that have the job thing go look for kind understand funni loyal person to spend my life with they must understand that my famili are veri import to me and would do anyth for them
573,nan
580,design fashion hundredcaratz what it do!!! have veri deep respect for my momma shes taught me alot love talk and have intens up close and person convers
584,thank for stop by and read my profil just move back from austin tx to the bay area where came from origin am just tri my luck here tri to find someon who serious about have relationship
586,fun quirki that guy who seem way too energet if you were to look for me in crowd the obvious tell would be that probabl danc around which must look realli odd consid you cannot hear my music
595,in progress
599,everyth simpl
601,am interest in make new friend take great care of my mental and physic health and am continu search for way to expand my knowledg of self and the communiti around me am seek veri much the same
602,nan
604,who would like to share my life with someon special someon who can trust as much as trust myself am an activ person and like to be regular involv in sport activ
608,nan
611,nan
613,nan
615,posit posit about it all love live life to the fullest be silli laugh and danc
616,have live in san francisco for six year and am now manag for an onlin compani
617,funni and outgo like to play badminton and also skate
619,in short genteel without be stuffi down to earth posit adventur artist creativ love romant
622,nan
626,adventur fun love compassion and littl bit fesiti
629,nan
630,nan
631,small anim are usual afraid of me becaus over thousand of generat they evolv around the idea that someth that look like me smell like me walk like me and sound like me will want to eat them my name is andrew have gf let us be friend own motorcycl and it is not harley or street bike
632,young and restless alway wonder who or what tomorrow may bring
633,nan
634,nan
635,am leader reader and eater the glue that hold my friend and famili togeth am the ultim parti planner hella love oakland proud chico state alumni but that make me more than just parti girl
640,have dream to pursu just like the mani other who surround me person who is alway will to give help hand when the opportun is there and when meet new peopl tend to be veri respect and kind
641,im just enjoy life and have as much fun as can
643,sha zam
646,down to earth speak my mind
647,nan
657,could tell peopl everyth about myself here but then that leav out all the fun of get to know someon serious though will answer ani question so go ahead and ask me anyth
658,nan
666,28 month old san franciscan work too much need to get out more let go see film eat at hole in the wall explor the citi be swedish tourist walk the citi listen to music prove bi rite creameri to be the best in the citi museum hop
671,how can one sum up the self? this is the tricki part well love my life complet with it challeng it is beauti journey my main goal are self growth and help other am creativ dedic and dreami
674,educ easi to talk to easi on the eye love word read travel be with peopl explor my inner and out world to the fullest enjoy friend women who are interest
677,can be summar by two word am from the origin okc websit am ridicul charm and slight insan
678,move around too much for the past year got friend all over but no stabl group final settl in sf now hope thing will get better~
679,nan
685,nan
686,am loyal kind affection veri thought polit organ person relationship type girl drawback sensit at time veri wild howev predict am creatur of habit who enjoy consist punctual
687,focus on get me and my dog near the ocean again
691,nan
696,nativ san franciscan live and work in berkeley profession driven and veri in to local recreat and restaur
698,simpl and fun no trick no game just you and me too lazi to put anyth here so don expect anymor then this
699,writer mother reader lover meeter greeter indian food eater hippi flippi get grippi talker joker not smoker *no it not my number
700,mid size man with an immens amount of fortun and tast
701,nan
705,6th generat sf er!~!~!
708,im guy who enjoy everyth that is beauti and worth live everi moment for myself familiy friend sport music read movi food
710,singl young and great kid and have steadi job
712,nan
714,nan
715,award win filmmak
717,nan
718,look to meet someon to check out show with danc eat walk around the citi great convers kick it in an overal chill vibe into explor the citi and would love for you to join me fun laid back love to laugh and look at the bright side of thing good listen into human befor profit and follow my dream
733,on here just look to see what happen move back to the citi recent from the east bay so look to hope meet someon local
734,nan
737,copywrit journalist author speaker from itali ok look bore guy that describ himself by his job but it just profil and don believ in profil believ in know real peopl so yes have job and in love with san francisco need someth els to start?
738,filmmak like to watch old movi and creat new one
744,nan
747,life is short so whi not?
751,easygo white asian mix guy here look for good peep to hang chat have fun with or more born and rais in hawaii like to explor the citi bike go to the beach when it get warm enough and love good food and coffe say hi sup howdi whatev if interest and we can go from there
752,nan
753,im nativ of hawaii am singl mother look to widen my horizon by meet new interest peopl who love to enjoy life
761,am funni honest sometim to honest loyal and like to keep activ can be sarcast but not nasti like to laugh and joke around and not take thing to serious
762,will fill in my profil later
768,am easi go funni at least think so perhap littl bit arrog but can laugh at myself and don take myself too serious occasion obnoxi boredom is my enemi so sometim stir up troubl for some entertain have good career that let me do the thing like to do and take me to lot of interest place live in amsterdam for year move back home to australia for coupl of year then got job offer here in ca have move around lot in the last 10 year but think have final found my place to settl down
770,29 yr old dude check out the onlin date space
771,would like the weather to warm up so can use that prescript scuba mask swim at baker beach
775,practic logician and contrarian my standard day tend to be fill with film read garden and soccer readi to give into the travel bug constant assum peopl are older than am self summar make me twitch
780,nan
782,my friend has told me that too nice and too picki lol guess just like to make good decis and no regret
783,nan
786,smart creativ irrever loyal and look for true partner who is strong enough play enough and wise enough to know when and how to push back when the time is right
788,comput program that shadow like knive at night
789,im lifelong learner aka still student and mos def kid at heart im from inglewood so may have my ride or die chick moment but realli im softi yo!
790,nan
793,to quot some other wag on here that right an empti essay
794,love jesus peopl and all thing art relat worshipp singer songwrit make movi draw take pictur
798,artist full time and also work full time im veri easi go tri to be gentleman at all time alway dedic to my craft and would like someon with the same interest as me
803,nan
805,passion care discreet safe creativ you can ask me what you want know
808,look for someon fun to hang out with while enjoy what life has to offer children senior and my new cat snookem keep me align with their love enjoy write and most creativ activ my latest passion is plant propag do you know of plant must have for my collection?
809,am adventur genuin and love
814,pretti steadi littl sour littl wild sometim tongu tie and sometim would not shut up have varieti of good qualiti but am not especi good at deploy them
816,want to live where soul meet bodi death cab for cuti
817,nan
818,realiz that am seek someth bit off kilter from the averag joe howev know that out there in the midst of the date haystack live woman who has absorb the same stimuli as have and who welcom the intens that passion can offer yes love this movi to point in the same way love the secretari the stori of and host of other similar brand film that tell onli half the stori
819,how can summar myself? don think even 0001% of my genet code will fit in this space bit nerdi love cartoon like roller coaster enjoy card an npr junki read whenev can think netflix is brilliant love anim love my famili believ in loyalti respect manner
820,nan
822,nan
825,tall slender fit fun english teacher turn economist seek bookish stylish self awar woman
827,interest hockey soccer snowboard ice skate hike cook sail and yoga date like to go on put down blanket in doler park drink some wine and lay out grab some taco in the mission and hike to the top of bernal height go ice skate at yerba buena place go to again munich rio boston
828,nan
831,pretti down to earth pretti far out there have strong head on my shoulder and tri my best to keep my outlook and mental healthi turn on sincer enthusiasm ambit intellig honesti curiosity! turn off wallow in boredom excess self deprec lack of ambit homophob
833,foodi at heart and alway look for new restaur to tri love to travel especi in search of realli good restaur both fanci restaur as well as the hidden gem hole in the wall place
836,befor you read my profil watch this it an accur represent of what will never be born in sydney but live most of my life in the suburb of atlanta don have the accent anymor sorri ladies? ve been retweet by the white hous and boz from tlc use to live across the street from me
838,nan
842,nan
843,first time do onlin date so go easi on me would like to meet some new peopl and see what happen spur by what els breakup!!
847,nan
851,this whole format remind me too much of fill out grant applic see photo instead
856,nan
863,natur inquisit light travel led by whim time person of the year 2006
866,hi! mike and nerd program comput for fun and profit spend way too much time on hacker news read hard sci fi and argu with my friend over whether the robot apocalyps will destroy us all check the what think about section for the gori detail updat after do swing off and on for while tri to learn blue anyon who like to go learn togeth pleas move to the front of the line
868,nan
869,bruce springsteen is better than mani of my peer give him credit for dog are better than cat but harder to cope with their constant demand for affect own more book than have space for most of them are under my bed
871,move out of home when was 15 and have been wander around ever sinc am pretti laid back and tri to stress as littl as possibl but at the same time tri to make the most out of my life and keep an open and inquisit attitud am veri drawn to fun unexpect thing and fascin by the process of creat someth beauti so end up in san francisco seem like natur outcom have an existentialist approach to life if that mean anyth hate suburb and am lot more fun in person that in this profil
873,nan
876,nan
879,goofi sincer explor curious technolog espresso tea brainstorm sun shower ice hockey wakeboard yoga repeat
881,young and ambiti invest profession who aim to live both my profession and person live to the fullest!
882,pictur yourself in boat on river with tangerin tree and marmalad sky spend most of my time outdoor or nap on hippi hill
883,20 crazi in good way sexi and cool! love work out and be fit and healthy! live on yacht an onli child
890,im gay live in san francisco and gave up grindr for okcupid
891,hey! am awesom here whi am big dork sure look cool on the outsid but my gooey caramel center is pack with dork if you re fellow dork then you ll know exact whi am awesom for you non dork out there also have had the good fortun to be ambiti success and charm thank mom! if you look to goof around make out and exchang text messag that without the would probabl be offens then may be your man
892,regular sort of dude guess tri to do the right thing and be nice to peopl most of the time quiet and listen most like snark bourbon motown stripe like the smell of sawdust and gasolin and uncatalyz exhaust and the way heavi well balanc spoon sit in the hand do not like fascist particl board pretens or those gross wasabi pea but do like green roll hill and sandwich and karaok like lot more thing than dislik like peopl who like thing too
894,orang counti girl move to the big bad citi oakland and immedi fall in love with farmer market taco truck at 2am cafe that refus to hire her buse full of graffiti and lake that use to be sewer dump am pain in the ass but loyal care adventur and worth the troubl
897,high competit believ in karma like drink tea and danc late into the night have thing for paperm flair felt tip pen in multi color like the tast of fruit and the smell of gasolin have tendenc to wear black and alway sing in the car
900,colleg student work full time in retail goofi honest well round follow me chloemoniqu
902,live in the bay for seven year and then move to portland last year now back long stori
905,me passion intens emot creativ funni silli logic analyt thought competit lazi driven overachiev and dramat outspoken fun introspect focus on get healthi via food diet and cross fit train valu qualiti over quantiti
909,was rais in jewish latin american home and am veri much the product of these two cultur be bilingu and first generat american has shape my ident in big way and find that end up talk about this topic lot graduat from ucsc in 2011 and major in literatur with concentr in creativ write writer am opinion and open like to listen and to be heard and like to laugh lot like the natur the crafti and the anim
910,just get start here will be get it all down in write soon but the quick version is yeah it would be great to meet you and yes my name datingisfun is on the sarcast side of thing
913,an english professor at small liber art univers outsid of berkeley california also nation known music journalist and nativ californian work as and tenni pro befor settl on educ which is kind of combin of the two wrote book about the stone rose it call the stone rose the editor of an onlin music magazin cur brown hair blue eye athlet poet love music
914,for better idea read below
916,love contact with live creatur the beach is my favorit place follow close by other bodi of water travel and be outdoor invigor me in my free time like to go rock climb make music cook delici treat and spend time with my love friend drink wine danc unabash play board and or video game and sign karaok
921,nan
924,not homeless
927,just return to the bay area after finish grad school in chicago excit to be abl to get out and experi everyth that make me love northern california the peopl the weather the place the food
929,constant learn about myself find that the process is much easier when there is companion that what realli brought me to this site there is onli so much could look for at the club on saturday even
932,grew up on in the north east live in denver for while and move to ca year ago love music have recent been on electronica bing but if can danc to it ll enjoy it
936,like babi seal scientist programm also like peopl who use the oxford comma sometim say outrag or ridicul thing that shouldn be taken too serious
937,am nobodi
940,29 year old live in sf but origin from san diego love hang out with peopl play badminton hike basketbal and eat hotpot
941,vagu gothic vagu twee alarm vagu at the best of time usernam the katherin dunn novel not the realiti tv show but you knew that already? you could probabl guess
942,am not good at talk about myself rather let someon els sum me up by get to know me am unsur uneasi and unstabl is everyon on here bi?
948,nan
949,nan
950,just want to be doper person which start with me not alway tell peopl how dope think am kany west on the challeng of describ yourself think pretti dope though
952,warm artist funni and thought also childish impati afraid of insect slight neurot and evil good at draw paint snuggl do crafti thing and cook terribl at play most sport do math and watch scari movi think puppi children
956,nan
957,from california was in new york for while now here yay!
958,scienc love tree hug word juggl forest lurk left lean thyme use tomboy
959,caminant no hay camino se hace camino al andar littl by littl one travel far have thing for quot
960,clear am not comput liter late at night! have been tri to be good and get my profil all set up but was load the pictur and didn know what to do with that strang squar oh *that s* what it doe oh good way to generat interest ok will be fix this thing up soon stay tune back to regular program am interact goofi and medit
961,like lot of thing that lot of other peopl seem to like too travel outdoorsi stuff food art funni tv show also like math and scienc comput program and puzzl which mayb aren as popular look to meet someon fun so we can do fun stuff togeth includ but not limit to cook eat drink hike
962,am record engin live in potrero hill realli dig sf hit up show thrift store sushi ride the muni somewher new and creat music
963,nan
